hit_id,ch0,ch1,value
345,310,785,0.00043172
345,309,785,0.132022
346,153,47,0.0772798
346,153,51,0.0802396
346,153,46,0.0102291
346,153,48,0.0788388
346,153,52,0.0479753
346,153,50,0.0839395
346,153,49,0.0918287
347,176,508,0.301523
347,176,507,0.0113288
348,37,105,0.228305
348,37,106,0.105577
349,51,957,0.249193
350,307,911,0.0110424
350,307,910,0.232236
351,214,687,0.330609
352,257,721,0.0430672
352,257,722,0.252238
353,0,405,0.334103
354,145,248,0.0815071
354,145,249,0.221872
355,132,23,0.325989
356,58,797,0.107255
356,57,796,0.160103
356,58,796,0.0568939
357,58,694,0.264853
358,179,1218,0.106788
358,179,1217,0.163978
359,314,1272,0.35714
360,24,848,0.325424
361,82,471,0.014869
361,82,472,0.345711
362,154,758,0.111874
362,154,759,0.169038
363,234,708,0.274726
364,5,468,0.318368
365,11,445,0.321153
366,144,767,0.306402
367,306,529,0.330523
368,283,496,0.264044
369,143,921,0.266763
370,64,1172,0.286554
371,134,1246,0.294717
372,175,1242,0.263273
373,259,551,0.179315
373,259,550,0.12318
374,171,280,0.268334
374,171,281,0.0224094
375,47,1242,0.129706
375,47,1241,0.134568
376,298,618,0.303539
377,103,227,0.113908
377,103,228,0.170288
378,319,280,0.293189
379,183,1158,0.254979
380,269,39,0.279205
381,20,902,0.149663
381,20,903,0.172026
382,41,624,0.0089397
382,41,625,0.248151
383,10,554,0.30237
384,293,605,0.320465
385,266,1167,0.264107
386,138,514,0.274261
386,138,513,0.00436645
387,97,289,0.302542
388,225,377,0.295911
389,276,46,0.0134294
389,276,45,0.328603
390,297,389,0.136085
390,296,389,0.120526
390,296,388,0.0216638
391,287,720,0.326432
392,71,45,0.120689
392,72,44,0.0917398
392,72,45,0.100744
393,73,1074,0.036568
393,73,1073,0.0896075
393,72,1071,0.110433
393,72,1073,0.0261814
393,72,1072,0.10952
394,16,699,0.210197
394,16,698,0.100093
395,98,1007,0.0124477
395,99,1011,0.0114883
395,97,1007,0.03181
395,98,1010,0.0866119
395,98,1011,0.0153717
395,98,1008,0.105581
395,98,1009,0.0869613
396,89,900,0.169171
396,89,899,0.123575
397,101,496,0.309497
398,117,532,0.263893
399,232,1149,0.234462
399,232,1148,0.0596448
400,181,678,0.0211667
400,181,677,0.309243
401,125,1099,0.328315
402,178,713,0.265486
403,72,616,0.330347
404,153,611,0.0146758
404,153,612,0.278493
405,220,829,0.266227
406,71,642,0.0656943
406,71,640,0.122328
406,71,641,0.169889
407,213,882,0.274075
407,213,881,0.0625773
408,248,776,0.246434
409,282,879,0.301905
410,153,691,0.275953
411,188,720,0.362497
412,64,1105,0.23868
412,64,1104,0.0252557
413,285,627,0.298813
414,208,883,0.285717
415,81,844,0.311908
416,20,712,0.310155
417,80,41,0.327951
418,265,629,0.130183
418,266,628,0.128555
418,266,627,0.00226431
418,267,627,0.0953844
418,265,630,0.0327823
418,266,629,0.0152701
419,31,438,0.0904617
419,31,437,0.106288
419,32,434,0.00957443
419,31,439,0.0323177
419,32,435,0.0936651
419,31,436,0.0519042
419,32,436,0.0331921
420,249,467,0.207407
420,249,468,0.0475208
421,138,922,0.269613
422,234,327,0.0139521
422,234,326,0.339002
423,110,345,0.217217
423,110,346,0.102953
424,130,353,0.321368
425,316,28,0.29246
426,322,726,0.0364043
426,322,725,0.275576
427,39,599,0.152981
427,39,598,0.175345
428,300,454,0.29539
429,168,807,0.303459
430,188,704,0.12388
430,188,705,0.171843
431,168,460,0.285733
432,168,833,0.26859
433,329,789,0.14733
433,329,788,0.14418
434,78,633,0.334382
435,165,958,0.158386
435,165,957,0.13836
436,192,516,0.284925
437,124,1047,0.268997
438,282,684,0.052779
438,282,683,0.224744
439,297,649,0.30213
440,31,882,0.283863
441,165,1254,0.283456
442,16,775,0.312547
443,288,546,0.25551
444,170,810,0.168254
444,170,809,0.133577
445,263,639,0.215022
445,263,640,0.0405709
446,220,527,0.246942
446,220,528,0.0755812
447,119,37,0.27572
448,268,38,0.150006
448,268,39,0.11975
449,273,505,0.325819
450,7,328,0.286244
451,93,862,0.174086
451,93,863,0.184622
452,151,671,0.332236
453,53,734,0.278932
454,245,808,0.285674
455,151,186,0.292513
456,256,604,0.315451
457,312,128,0.0567599
457,312,127,0.110275
457,311,127,0.0535767
457,313,128,0.0284811
457,311,126,0.0497511
458,179,651,0.19381
458,179,650,0.0963613
459,231,947,0.263879
460,118,1053,0.0630183
460,118,1052,0.250733
461,155,115,0.237662
461,155,114,0.0958957
462,71,34,0.15368
462,71,33,0.137244
463,254,842,0.146367
463,254,843,0.0384061
463,255,843,0.109662
463,254,841,0.0233216
464,3,595,0.318384
465,28,497,0.232897
465,28,498,0.00268328
466,233,363,0.266465
467,266,468,0.26936
468,98,947,0.296821
469,280,644,0.320358
470,125,457,0.309145
471,67,681,0.329993
472,225,1097,0.100751
472,225,1098,0.208083
473,56,635,0.284069
474,57,956,0.103089
474,57,958,0.00117092
474,56,955,0.00183161
474,58,958,0.0831288
474,58,959,0.0306895
474,57,955,0.0920048
474,57,957,0.0941696
474,56,954,0.00136735
475,88,648,0.110372
475,88,649,0.19129
476,278,553,0.268076
477,96,546,0.33156
478,95,791,0.330189
479,201,1025,0.317989
480,7,504,0.323386
481,249,498,0.301958
482,124,806,0.270222
482,125,806,0.030641
483,222,524,0.32067
484,243,1168,0.319312
485,285,1167,0.116613
485,285,1168,0.161512
486,280,511,0.0966925
486,280,512,0.216517
487,211,876,0.314671
488,195,336,0.345734
489,201,692,0.234791
489,201,693,0.0982383
490,3,365,0.328347
491,160,602,0.232809
491,160,601,0.0516994
492,35,566,0.125367
492,35,565,0.189157
493,255,330,0.299913
494,237,85,0.0590695
494,237,84,0.232156
495,293,21,0.171572
495,293,22,0.144684
496,29,322,0.318095
496,29,323,0.000906096
497,132,1084,0.252128
498,300,260,0.017841
498,300,261,0.330038
499,36,77,0.294201
500,221,336,0.310061
501,126,560,0.313256
502,208,106,0.245786
502,208,107,0.0114415
503,99,19,0.332981
504,170,867,0.036578
504,170,868,0.223246
505,325,686,0.244352
506,158,1063,0.0952906
506,158,1064,0.262323
507,203,1068,0.0264324
507,203,1067,0.269847
508,261,469,0.308191
508,261,470,0.00218225
509,71,649,0.293836
510,211,460,0.269979
511,106,1012,0.206684
511,106,1013,0.154265
512,66,499,0.200429
512,66,500,0.0700334
513,252,1172,0.240417
513,252,1173,0.044382
514,100,947,0.361308
515,94,517,0.260009
516,184,1190,0.284551
517,286,477,0.346961
518,85,558,0.321597
519,161,649,0.297681
520,84,1196,0.00149583
520,84,1197,0.250473
521,61,183,0.139917
521,62,183,0.0725674
521,61,182,0.120718
522,165,848,0.32081
523,265,916,0.322585
524,205,922,0.114687
524,205,923,0.177746
525,35,521,0.295205
526,88,472,0.30911
527,281,146,0.222629
528,283,836,0.298358
529,125,520,0.304672
530,71,787,0.198773
530,71,788,0.0883008
531,61,695,0.314137
531,61,696,0.0272946
532,80,268,0.278347
533,4,106,0.161908
533,4,107,0.144379
534,19,785,0.102277
534,20,783,0.0178236
534,18,786,0.0973012
534,19,784,0.0735976
534,18,787,0.0117777
534,20,784,0.0391574
534,18,785,0.00368896
535,286,756,0.298395
536,307,442,0.326693
537,74,141,0.345467
537,74,142,0.0159916
538,225,303,0.300026
539,313,569,0.273157
539,313,568,0.0683431
540,232,450,0.33363
540,232,451,0.00598022
541,262,332,0.270922
541,262,331,0.0449423
542,4,827,0.347917
543,134,1122,0.311186
544,284,513,0.0449944
544,283,513,0.294576
545,163,885,0.356334
546,332,769,0.276245
546,332,770,0.0702038
547,107,477,0.0268926
547,107,478,0.2677
548,267,477,0.0260625
548,267,476,0.210539
549,10,1004,0.350394
550,182,531,0.18461
550,182,530,0.0717505
551,138,780,0.238773
551,138,779,0.0587597
552,314,391,0.295043
553,161,740,0.347971
554,9,908,0.294153
555,327,449,0.255788
556,36,451,0.328625
557,303,1157,0.318879
558,10,714,0.0470998
558,9,711,0.0625465
558,10,712,0.0746317
558,11,715,0.042443
558,10,713,0.0808973
558,10,711,0.0138814
558,11,714,0.0294629
558,9,710,0.0534895
559,84,467,0.309275
560,205,540,0.021778
560,205,539,0.238956
561,34,336,0.321269
562,78,1044,0.0986504
562,78,1045,0.220973
563,157,450,0.123918
563,158,450,0.00445775
563,158,451,0.182536
564,122,776,0.115774
564,122,775,0.146266
565,239,987,0.290483
566,146,1166,0.33491
567,217,8,0.195145
567,217,7,0.107095
568,282,178,0.272765
569,68,449,0.086439
569,67,449,0.038791
569,67,450,0.138815
570,284,67,0.328125
571,60,577,0.257915
571,60,576,0.0474128
572,308,367,0.259819
573,13,761,0.286197
573,13,762,0.00989658
574,118,1149,0.158993
574,118,1148,0.107449
575,152,462,0.332918
576,15,535,0.306189
577,3,1161,0.338289
578,238,600,0.280738
579,149,403,0.307627
580,104,934,0.378776
581,88,481,0.294115
582,280,1231,0.286484
583,258,470,0.217264
583,258,469,0.0520175
584,201,700,0.327622
585,293,501,0.350033
586,245,550,0.27545
587,133,859,0.303654
588,97,520,0.33105
589,174,888,0.297308
589,174,887,0.0444276
590,165,472,0.263316
591,71,173,0.0755349
591,71,174,0.247179
592,179,638,0.256281
593,162,1193,0.206964
593,162,1194,0.0536477
594,279,152,0.138141
594,279,151,0.120434
595,294,537,0.128142
595,294,536,0.18351
596,139,1145,0.314397
597,140,389,0.260732
597,140,390,0.0396476
598,84,63,0.334383
599,208,690,0.0734163
599,208,689,0.037153
599,209,689,0.139403
600,263,1036,0.162268
600,263,1035,0.138099
601,78,363,0.148691
601,78,364,0.176368
602,212,115,0.289356
603,221,63,0.01396
603,221,62,0.280397
604,46,543,0.310657
605,125,342,0.137041
605,125,343,0.163616
606,78,740,0.359264
607,329,986,0.329286
608,54,544,0.298193
609,213,457,0.296332
610,177,656,0.320579
611,154,967,0.29768
612,144,901,0.299743
613,186,1178,0.15487
613,186,1179,0.0664456
614,101,1049,0.19814
614,101,1048,0.0852969
615,67,1048,0.0980685
615,66,1047,0.0697998
615,67,1047,0.117641
616,168,176,0.0523591
616,168,177,0.239853
617,202,503,0.210841
617,202,502,0.0861977
618,80,467,0.278804
619,38,592,0.309177
620,265,1032,0.302257
621,202,562,0.336876
622,319,1144,0.0617526
622,319,1143,0.252987
623,110,502,0.330359
624,236,1050,0.251802
624,236,1051,0.0910502
625,154,547,0.0564376
625,153,549,0.0329895
625,154,548,0.172544
625,153,548,0.0472455
626,9,105,0.349171
627,272,449,0.204304
627,272,450,0.0983981
628,263,135,0.268021
629,32,454,0.288587
630,57,140,0.337329
631,244,453,0.0147697
631,244,454,0.329494
632,191,1258,0.330115
633,310,712,0.298808
634,299,131,0.0907632
634,299,130,0.205738
635,214,857,0.276929
636,283,115,0.348956
637,8,556,0.309862
638,215,790,0.16839
638,215,791,0.119332
639,205,773,0.0356617
639,205,774,0.252299
640,330,524,0.341172
641,18,497,0.257677
642,287,905,0.279068
643,84,1035,0.292207
644,60,994,0.32944
645,288,775,0.284215
646,192,633,0.332303
647,242,1064,0.264681
648,249,766,0.258512
649,123,925,0.0536327
649,123,926,0.223125
650,259,1223,0.264287
651,38,454,0.247779
652,21,1148,0.303625
653,175,746,0.287084
654,254,996,0.307066
655,44,706,0.314992
656,155,1005,0.0152125
656,155,1007,0.0790955
656,154,1003,0.0762826
656,153,1002,0.0498833
656,155,1006,0.0778469
656,154,1004,0.0749894
656,154,1002,0.0121843
656,154,1005,0.065613
657,127,302,0.221304
657,127,301,0.0933194
658,323,173,0.0570409
658,323,172,0.218299
659,109,846,0.0587612
659,110,845,0.251842
659,110,846,0.00659757
660,142,509,0.305854
661,79,111,0.303039
662,242,648,0.388945
663,40,1089,0.294922
663,40,1088,0.0193351
664,1,341,0.0448526
664,4,332,0.0487065
664,0,348,0.065807
664,0,349,0.0167185
664,2,341,0.0184754
664,0,345,0.041092
664,3,336,0.0616768
664,2,337,0.0473491
664,2,340,0.0611123
664,0,347,0.0604106
664,1,344,0.0554086
664,3,335,0.054246
664,4,333,0.013902
664,1,342,0.063193
664,2,338,0.0608797
664,1,345,0.0169111
664,2,339,0.0657408
664,3,333,0.0506277
664,0,346,0.0681111
664,3,334,0.0505009
664,3,337,0.0149384
664,1,343,0.0561327
665,93,127,0.1882
665,93,128,0.0805394
666,5,444,0.288506
667,139,562,0.110565
667,138,562,0.213366
667,139,561,0.00891554
668,61,1222,0.307545
669,291,1273,0.149086
669,291,1272,0.164296
670,20,757,0.291315
671,156,645,0.277985
672,284,1276,0.334853
673,244,917,0.30956
674,33,899,0.247674
674,33,900,0.055748
675,244,727,0.302232
676,57,772,0.29363
677,224,729,0.0506595
677,224,732,0.0944685
677,224,730,0.113321
677,224,731,0.10414
678,293,582,0.291666
679,309,549,0.200416
679,309,548,0.123571
680,270,619,0.330988
681,200,430,0.325342
682,205,12,0.032619
682,205,11,0.246454
683,129,896,0.122944
683,129,898,0.0905611
683,129,897,0.123669
683,129,895,0.00469464
684,314,258,0.160106
684,314,257,0.15372
685,271,52,0.245025
686,93,1169,0.315957
687,112,182,0.327686
688,232,941,0.0809992
688,232,940,0.207456
689,199,593,0.199428
689,199,594,0.101078
690,293,72,0.116314
690,292,72,0.21375
691,14,101,0.0236143
691,13,102,0.0684755
691,14,102,0.219652
691,13,103,0.00718563
692,181,1013,0.308915
693,92,69,0.151686
693,92,68,0.0783423
694,153,656,0.328923
695,276,275,0.200119
695,276,274,0.137551
696,73,47,0.292912
697,138,848,0.190841
697,138,847,0.121101
698,11,2,0.133232
698,11,1,0.171785
699,49,1110,0.16915
699,49,1111,0.131962
700,162,443,0.216071
700,162,444,0.0413683
701,84,1064,0.0537049
701,84,1065,0.290218
702,255,446,0.212906
702,255,447,0.0761337
703,244,588,0.215092
703,244,587,0.0887341
704,253,905,0.335652
705,134,1029,0.029577
705,134,1030,0.269297
706,213,677,0.275348
707,166,939,0.0913562
707,166,936,0.0160576
707,166,940,0.0839864
707,166,938,0.0954027
707,166,937,0.0839308
707,166,941,0.0436387
708,65,623,0.315181
708,65,624,0.0121242
709,79,967,0.307783
710,150,1031,0.190518
710,150,1030,0.0789736
711,290,1257,0.290924
712,95,590,0.0170889
712,95,589,0.28908
713,21,726,0.273747
713,21,727,0.0716116
714,121,704,0.0802567
714,121,705,0.242749
715,116,559,0.108248
715,116,558,0.198451
716,315,800,0.259027
717,277,772,0.192791
717,277,773,0.13327
718,284,558,0.318951
719,194,490,0.156339
719,194,491,0.153442
720,157,760,0.0575918
720,157,759,0.20956
721,54,280,0.25156
722,89,693,0.262426
723,292,129,0.309195
724,162,995,0.131504
724,162,996,0.161472
725,141,869,0.312221
726,177,113,0.206676
726,177,114,0.126782
727,330,540,0.281868
727,330,541,0.0624737
728,6,763,0.0916317
728,6,764,0.219225
729,286,468,0.0656318
729,286,469,0.206495
730,22,1242,0.26045
731,237,153,0.0215915
731,237,154,0.239585
732,198,805,0.319584
733,313,582,0.23726
733,313,581,0.0556342
734,86,125,0.260418
735,34,550,0.00655493
735,34,551,0.324438
736,251,277,0.294799
736,251,278,0.00567768
737,113,689,0.291128
738,288,803,0.0571046
738,288,802,0.245645
739,285,1093,0.329503
